Time (s),VP+ Power (W),
85,0.023326513,
85.1,0.018023366,
85.2,0.012201615,
85.3,0.008511897,
85.4,0.011684894,
85.5,0.022402422,
85.6,0.019572725,
85.7,0.006683072,
85.8,0.000618702,
85.9,0.010374033,
86,0.019601436,
86.1,-0.000960678,
86.2,-0.011794723,
86.3,-0.002546815,
86.4,-0.029392504,
86.5,0.004830506,
86.6,-0.002540604,
86.7,0.006930723,
86.8,0.016441194,
86.9,0.019595694,
87,0.013282406,
87.1,-0.006210937,
87.2,0.000618702,
87.3,0.023269652,
87.4,0.008511897,
87.5,0.006945258,
87.6,0.002996493,
87.7,0.010394293,
87.8,0.000618702,
87.9,0.015910475,
88,0.00114775,
88.1,0.003780656,
88.2,-0.002543798,
88.3,0.0041006,
88.4,0.003775907,
88.5,0.006924908,
88.6,-0.002544331,
88.7,0.025137877,
88.8,0.032262909,
88.9,0.017712609,
89,0.012207581,
89.1,-0.012017745,
89.2,0.014037526,
89.3,0.008524388,
89.4,0.006948166,
89.5,0.008520224,
89.6,0.008516061,
89.7,0.006945258,
89.8,0.015964851,
89.9,0.006679809,
90,0.006959794,
90.1,0.004828144,
90.2,-0.010438222,
90.3,0.017279899,
90.4,0.005352523,
90.5,0.025125604,
90.6,0.026237477,
90.7,0.017764624,
90.8,-0.004381238,
90.9,0.002205336,
91,-0.000698168,
91.1,0.008528552,
91.2,-0.002539539,
91.3,0.019539913,
91.4,0.012213547,
91.5,0.018000743,
91.6,0.014168,
91.7,0.010368968,
91.8,0.008533906,
91.9,-0.000960275,
92,0.004830506,
92.1,-0.000697144,
92.2,0.021169979,
92.3,0.014037526,
92.4,0.015879402,
92.5,0.010104046,
92.6,0.030719248,
92.7,0.002983346,
92.8,0.01961374,
92.9,0.049201084,
93,0.045571271,
93.1,0.027550933,
93.2,-0.012017745,
93.3,-0.009931099,
93.4,0.021436445,
93.5,-0.000698168,
93.6,0.012961502,
93.7,0.014023792,
93.8,-0.013610566,
93.9,0.019630146,
94,0.014877674,
94.1,0.015933779,
94.2,-0.005723539,
94.3,0.006686335,
94.4,0.002989189,
94.5,0.005350278,
94.6,0.023372002,
94.7,0.002984806,
94.8,0.005760332,
94.9,0.036263799,
95,0.017712609,
95.1,-0.022833463,
95.2,0.000616629,
95.3,0.002983346,
95.4,-0.004394098,
95.5,0.000618443,
95.6,-0.032025043,
95.7,0.025955925,
95.8,0.019630146,
95.9,0.006686335,
96,0.010368968,
96.1,0.003785406,
96.2,-0.008076827,
96.3,-0.000698168,
96.4,0.006676546,
96.5,0.00851963,
96.6,0.0085577,
96.7,-0.000697485,
96.8,-0.005694874,
96.9,0.014037526,
97,0.00114607,
97.1,-0.004376952,
97.2,-0.019132615,
97.3,0.004835229,
97.4,0.002984806,
97.5,0.005348033,
97.6,-0.008092608,
97.7,0.00114607,
97.8,0.006673283,
97.9,0.013265741,
98,0.016420557,
98.1,0.017300272,
98.2,0.027435804,
98.3,0.017747286,
98.4,0.006666757,
98.5,0.02590167,
98.6,0.000223398,
98.7,-0.013610566,
98.8,0.011655535,
98.9,0.002998685,
99,0.00022389,
99.1,0.00667002,
99.2,-0.011771734,
99.3,-0.000700898,
99.4,0.018061071,
99.5,0.01588717,
99.6,0.002989189,
99.7,0.002992111,
99.8,-0.013597269,
99.9,0.014064994,
100,-0.000961483,
100.1,-0.008061046,
100.2,-0.013623863,
100.3,0.016434315,
100.4,0.023303769,
100.5,0.012219513,
100.6,0.000618702,
100.7,0.013982589,
100.8,0.010784042,
100.9,0.003786989,
101,0.00114663,
101.1,0.001149429,
101.2,0.022693664,
101.3,0.012201615,
101.4,0.028814763,
101.5,0.003780656,
101.6,0.012201615,
101.7,-0.017265923,
101.8,0.01405126,
101.9,0.026904312,
102,-0.010455721,
102.1,-0.009911714,
102.2,-0.004140849,
102.3,0.008495241,
102.4,0.012207581,
102.5,-0.000962289,
102.6,0.013326847,
102.7,0.04180835,
102.8,0.002196124,
102.9,0.006692861,
103,0.018045989,
103.1,0.023337886,
103.2,-0.008096554,
103.3,0.017985661,
103.4,-0.004389811,
103.5,-0.000696462,
103.6,0.025923372,
103.7,0.030651854,
103.8,0.019618662,
103.9,0.01543779,
104,0.026996532,
104.1,0.001145511,
104.2,0.019630146,
104.3,0.008512491,
104.4,0.024301107,
104.5,0.041661595,
104.6,-0.008053155,
104.7,0.021809621,
104.8,-0.000694415,
104.9,-0.006226159,
105,0.01169468,
105.1,0.019638349,
105.2,0.010363903,
105.3,0.006663494,
105.4,0.006663494,
105.5,-0.012027819,
105.6,0.015949315,
105.7,0.019601436,
105.8,0.012237412,
105.9,0.014859023,
106,0.006686335,
106.1,-0.000697827,
106.2,-0.006232248,
106.3,-0.000959872,
106.4,0.010358838,
106.5,0.017799301,
106.6,-0.005692485,
106.7,0.030584461,
106.8,0.016413678,
106.9,0.021161114,
107,-0.006223115,
107.1,-0.000698509,
107.2,-0.019125601,
107.3,-0.008854985,
107.4,-0.002539362,
107.5,0.024372429,
107.6,0.017738617,
107.7,0.033393556,
107.8,-0.008061046,
107.9,0.006673283,
108,-0.024690097,
108.1,0.02325828,
108.2,0.015415162,
108.3,0.015096724,
108.4,-0.002539362,
108.5,0.008505353,
108.6,0.00299065,
108.7,-0.010872829,
108.8,0.012219513,
108.9,-0.015176792,
109,-0.01537965,
109.1,-0.002538475,
109.2,0.014037526,
109.3,0.010389228,
109.4,0.025125604,
109.5,0.023788559,
109.6,-0.013589291,
109.7,-0.013557378,
109.8,0.006686335,
109.9,0.014834155,
110,0.001142152,
110.1,-0.02282231,
110.2,-0.015195874,
110.3,0.01588717,
110.4,0.012249344,
110.5,0.006951073,
110.6,0.023246908,
110.7,-0.013623863,
110.8,0.008512491,
110.9,0.001143831,
111,-0.005699651,
111.1,0.002993572,
111.2,-0.009906868,
111.3,0.012213547,
111.4,0.010082891,
111.5,-0.011748744,
111.6,-0.00884756,
111.7,0.025156287,
111.8,0.021509743,
111.9,0.013315737,
112,0.015894938,
112.1,0.010353773,
112.2,0.003774324,
112.3,0.012219513,
112.4,-0.004389811,
112.5,-0.010438222,
112.6,-0.006244425,
112.7,-0.013657105,
112.8,0.028856989,
112.9,-0.024653933,
113,-0.005704429,
113.1,-0.000698509,
113.2,0.001143271,
113.3,0.024392807,
113.4,-0.008084718,
113.5,0.006673283,
113.6,0.002992111,
113.7,0.013310182,
113.8,0.030809106,
113.9,0.029049866,
114,0.005359259,
114.1,0.004835229,
114.2,0.021457387,
114.3,0.018015825,
114.4,-0.006946927,
114.5,0.000618702,
114.6,0.021425974,
114.7,0.005392936,
114.8,0.019572725,
114.9,0.01817063,
115,0.006666757,
115.1,0.017729948,
115.2,0.030659343,
115.3,0.019572725,
115.4,0.014030659,
115.5,-0.011742997,
115.6,-0.002540604,
115.7,-0.009877789,
115.8,-0.024545442,
115.9,0.010348708,
116,-0.013563077,
116.1,0.017391952,
116.2,-0.021485878,
116.3,0.030614413,
116.4,-0.005718761,
116.5,0.01770394,
